기관명,소계,2011년이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년
강 남 구,5221,1944,195,316,430,546,765,577,448
강 동 구,1879,303,387,134,59,144,194,273,385
강 북 구,1265,243,88,141,74,145,254,1,319
강 서 구,1617,219,155,118,230,187,190,264,254
관 악 구,3985,430,56,419,487,609,619,694,671
광 진 구,1581,470,42,83,87,64,21,468,346
구 로 구,3227,852,219,349,187,268,326,540,486
금 천 구,1634,27,17,242,101,382,136,199,530
노 원 구,1906,481,117,203,80,461,298,110,156
도 봉 구,858,197,66,8,185,59,155,117,71
동대문구,2003,,,,1326,111,233,136,197
동 작 구,1780,238,93,29,503,130,254,278,255
마 포 구,1935,585,108,69,70,177,359,372,195
서대문구,2121,565,233,214,114,109,277,415,194
서 초 구,2835,1172,91,228,134,215,352,247,396
성 동 구,2679,665,109,118,101,258,201,933,294
성 북 구,3003,779,84,304,241,279,388,285,643
송 파 구,1586,600,99,88,21,166,100,116,396
양 천 구,2775,772,161,185,169,172,349,137,830
영등포구,2495,132,121,206,217,366,289,371,793
용 산 구,2063,1279,152,201,107,102,89,60,73
은 평 구,2962,1365,83,99,343,180,296,229,367
종 로 구,1471,8,7,599,132,195,148,281,101
중     구,1544,25,165,114,80,245,270,317,328
중 랑 구,1068,,,,770,102,121,66,9